Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR;med;std;S
438;4;ESO;B;142;3;12;1;6.0;1.5500000000000007;5.833333333333333;1.403458930534474;1.4451858789480823
300;2;ESO;C;123;1;12;1;5.0;0.5500000000000007;5.166666666666667;0.5773502691896257;0.8239592165010823
300;2;ESO;C;123;2;12;4;5.5;2.0;5.083333333333333;1.378954368902449;1.4241299173467734
300;2;ESO;C;123;3;12;1;5.0;0.0;5.083333333333333;0.5149286505444373;0.7214636866925115
341;3;ESO;A;131;1;13;7;4.0;2.6000000000000005;4.6923076923076925;1.6525039276108333;1.6715952780212542
341;3;ESO;A;131;2;13;9;4.0;2.0;4.153846153846154;1.7722938923964167;1.6715952780212542
341;3;ESO;A;131;3;13;5;5.0;2.0;5.0;1.7320508075688772;1.6715952780212544
425;4;ESO;A;141;1;12;2;6.0;1.0;5.833333333333333;1.337115846843043;1.357977854987324
425;4;ESO;A;141;2;7;2;6.0;3.3999999999999995;5.428571428571429;2.370453040886408;1.7478680974667573
425;4;ESO;A;141;3;12;2;5.5;1.0;5.666666666666667;1.9227505550564004;1.4451858789480823
5;1;BAC;A;211;1;11;4;6.0;2.8000000000000007;5.090909090909091;2.0714509627092528;1.4681399390162087
5;1;BAC;A;211;2;11;4;5.0;2.6000000000000005;5.0;2.0976176963403033;1.7677614722893296
5;1;BAC;A;211;3;11;1;5.0;1.0;5.363636363636363;1.2060453783110545;1.1209503926735833
362;3;ESO;B;132;1;13;1;6.0;1.2999999999999998;6.230769230769231;1.0919284281983377;1.412744636863848
362;3;ESO;B;132;2;13;2;7.0;2.3;6.6923076923076925;1.797434068545834;1.7326587201992074
362;3;ESO;B;132;3;13;0;7.0;2.3;6.923076923076923;1.6052797503622467;1.6977335913743923
363;3;ESO;A;131;1;13;7;4.0;2.3000000000000007;4.3076923076923075;1.7974340685458343;1.844621476365503
363;3;ESO;A;131;2;13;6;5.0;1.9000000000000004;4.384615384615385;1.8501559185854912;1.6715952780212544
363;3;ESO;A;131;3;13;3;5.0;1.2999999999999998;5.076923076923077;1.7059473644448737;1.5857708352080968
346;3;ESO;B;132;1;13;0;9.0;2.0;8.153846153846153;1.0681880176381127;1.1569876443452742
346;3;ESO;B;132;2;13;0;9.0;1.0;8.615384615384615;0.9607689228305228;1.0317671113505356
346;3;ESO;B;132;3;13;0;9.0;2.3;8.692307692307692;1.3155870289605438;1.4127446368638479
216;1;ESO;B;112;1;11;0;8.0;1.0;7.636363636363637;1.3618169680781094;1.5403058252265167
216;1;ESO;B;112;2;11;0;8.0;1.8000000000000007;7.636363636363637;1.2862913567871994;1.4681399390162087
216;1;ESO;B;112;3;11;0;8.0;1.8000000000000007;7.7272727272727275;1.009049958219026;1.2945451658448959
275;2;ESO;B;122;1;12;5;5.0;2.55;4.833333333333333;1.6422453217986943;1.7481554572476758
275;2;ESO;B;122;2;12;4;5.5;2.0;5.416666666666667;1.3113721705515067;1.4451858789480827
275;2;ESO;B;122;3;12;2;5.0;1.0;5.5;1.3142574813455419;1.236684869140504
40;1;BAC;B;212;1;11;1;6.0;1.0;6.0;1.1832159566199232;1.162225544921092
40;1;BAC;B;212;2;11;1;5.0;1.0;5.818181818181818;1.662418829187267;1.1685184057430877
40;1;BAC;B;212;3;11;0;7.0;0.7999999999999998;7.0;0.8944271909999159;1.1209503926735833
25;1;BAC;A;211;1;11;4;6.0;2.0;5.363636363636363;1.8040358795061298;1.6417347121875212
25;1;BAC;A;211;2;11;5;5.0;2.0;5.0;1.61245154965971;1.7201934592198251
25;1;BAC;A;211;3;11;4;5.0;3.6000000000000005;5.181818181818182;1.9400093720485898;1.6726254461503207
261;2;ESO;A;121;1;12;4;5.0;1.5500000000000007;4.833333333333333;1.4668044012461754;1.5832584594204766
261;2;ESO;A;121;2;12;5;5.0;2.0;5.083333333333333;1.0836246694508318;1.2366848691405041
261;2;ESO;A;121;3;12;2;5.0;1.1000000000000014;5.416666666666667;1.2401124093721454;1.1187433359857524
237;1;ESO;C;113;1;11;1;7.0;2.0;6.909090909090909;1.8140862964338522;1.7201934592198254
237;1;ESO;C;113;2;11;0;7.0;1.8000000000000007;7.090909090909091;1.1361818036340359;1.2636544318820966
237;1;ESO;C;113;3;11;0;8.0;2.0;7.181818181818182;1.4709304414677;1.515707952085713
376;3;ESO;B;132;1;13;5;5.0;2.0;4.384615384615385;1.325296290046213;1.2636256721237276
376;3;ESO;B;132;2;13;4;5.0;1.3000000000000007;4.923076923076923;1.0377490433255416;1.377819508039033
376;3;ESO;B;132;3;13;7;4.0;1.2999999999999998;4.3076923076923075;1.2506408613597126;1.412744636863848
331;3;ESO;A;131;1;13;6;5.0;2.0;5.076923076923077;1.5525000516123697;1.6052071074554588
331;3;ESO;A;131;2;13;4;6.0;2.3000000000000007;5.461538461538462;1.1982893790305562;1.3516811946858949
331;3;ESO;A;131;3;13;2;5.0;1.0;5.384615384615385;1.1208970766356101;1.412744636863848
180;1;ESO;A;111;1;11;5;5.0;1.8000000000000007;4.818181818181818;1.1677484162422844;1.4681399390162087
180;1;ESO;A;111;2;11;4;5.0;3.8000000000000007;4.7272727272727275;1.954016841836789;1.5465986860485124
180;1;ESO;A;111;3;11;2;5.0;1.0;5.2727272727272725;1.555050423035156;1.540305825226517
305;2;ESO;C;123;1;12;3;5.5;2.1000000000000005;5.583333333333333;1.5642792899510296;1.7045514452672972
