Id;Nivel;Ens;Grup;Tut;aval;nasig;nsusp;Q50;IQR
32;1;BAC;B;212;3;11;0;7.0;1.7999999999999998
358;3;ESO;B;132;1;13;0;8.0;1.0
358;3;ESO;B;132;2;13;0;7.0;2.0
358;3;ESO;B;132;3;13;0;8.0;2.0
53;1;BAC;C;213;1;11;1;6.0;2.8000000000000007
53;1;BAC;C;213;2;10;2;6.0;2.1000000000000005
53;1;BAC;C;213;3;11;0;6.0;1.7999999999999998
450;4;ESO;B;142;1;12;5;5.0;3.1000000000000005
450;4;ESO;B;142;2;12;4;5.0;2.5500000000000007
450;4;ESO;B;142;3;13;2;6.0;2.0
48;1;BAC;B;212;1;11;3;6.0;2.6000000000000005
48;1;BAC;B;212;2;11;4;5.0;1.8000000000000007
48;1;BAC;B;212;3;11;2;5.0;1.0
474;4;ESO;C;143;1;12;6;4.5;1.5499999999999998
474;4;ESO;C;143;2;12;9;4.0;1.1000000000000005
474;4;ESO;C;143;3;13;3;5.0;1.2999999999999998
311;2;ESO;C;123;1;12;0;9.0;1.5500000000000007
311;2;ESO;C;123;2;12;0;9.0;1.1000000000000014
311;2;ESO;C;123;3;12;0;9.0;0.0
205;1;ESO;B;112;1;11;0;6.0;0.0
205;1;ESO;B;112;2;11;0;7.0;1.0
205;1;ESO;B;112;3;11;0;7.0;1.0
395;3;ESO;C;133;1;13;1;7.0;2.3000000000000007
395;3;ESO;C;133;2;13;0;7.0;1.3000000000000007
395;3;ESO;C;133;3;13;0;8.0;1.6000000000000005
282;2;ESO;B;122;1;12;0;7.0;1.0
282;2;ESO;B;122;2;12;0;7.0;1.0
282;2;ESO;B;122;3;12;0;8.0;1.0
464;4;ESO;C;143;1;12;2;5.0;1.5500000000000007
464;4;ESO;C;143;2;12;2;6.0;1.0
464;4;ESO;C;143;3;12;0;6.0;2.0
392;3;ESO;C;133;1;13;0;7.0;2.0
392;3;ESO;C;133;2;13;1;7.0;2.0
392;3;ESO;C;133;3;13;0;7.0;1.2999999999999998
227;1;ESO;C;113;1;11;4;5.0;2.8000000000000007
227;1;ESO;C;113;2;11;2;6.0;1.0
227;1;ESO;C;113;3;11;1;6.0;2.0
226;1;ESO;C;113;1;11;0;7.0;2.6000000000000005
226;1;ESO;C;113;2;11;1;7.0;1.6000000000000005
226;1;ESO;C;113;3;11;0;7.0;1.0
42;1;BAC;B;212;1;11;1;7.0;2.8
42;1;BAC;B;212;2;11;2;7.0;2.8
42;1;BAC;B;212;3;11;0;7.0;2.0
295;2;ESO;C;123;1;12;9;3.0;2.5500000000000007
295;2;ESO;C;123;2;12;10;3.0;2.0
295;2;ESO;C;123;3;13;10;4.0;2.3000000000000007
294;2;ESO;C;123;1;12;2;6.0;2.0
294;2;ESO;C;123;2;12;3;5.0;2.1000000000000005
294;2;ESO;C;123;3;12;2;6.5;2.1000000000000005
24;1;BAC;A;211;1;10;1;7.0;4.0
24;1;BAC;A;211;2;10;1;7.0;2.0500000000000007
